Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
N1,31/08/2025,11:15,For Sittard,Nijmegen,3,2,H,2,1,H,10,14,5,5,16,8,3,4,4,1,0,0,3,3.75,2.2,3.1,3.7,2.15,3.08,3.73,2.18,3.08,3.65,2.14,2.9,3.9,2.2,3.09,3.69,2.27,2.96,3.67,2.21
N1,31/08/2025,13:30,Sparta Rotterdam,Feyenoord,0,4,A,0,1,A,7,24,2,11,5,9,1,9,1,2,1,0,3.8,4,1.83,3.6,4.2,1.83,3.8,3.95,1.86,3.66,3.97,1.84,3.6,3.9,1.91,3.93,3.9,1.91,3.69,3.81
N1,31/08/2025,13:30,Zwolle,Utrecht,0,2,A,0,2,A,6,14,2,7,13,10,3,2,2,1,0,0,3.1,3.6,2.2,3,3.7,2.15,3.06,3.63,2.23,3.03,3.58,2.18,3.25,3.5,2.15,3.33,3.45,2.26,3.32,3.45,2.12
N1,31/08/2025,15:45,NAC Breda,AZ Alkmaar,0,1,A,0,0,D,11,25,6,8,8,13,1,7,0,5,1,0,5,4.5,1.57,5.25,4.2,1.58,5.19,4.45,1.56,5.22,4.34,1.55,4.2,4,1.73,4.78,4.3,1.68,4.56,3.93,1.69
N1,13/09/2025,15:30,Ajax,Zwolle,3,1,H,2,0,H,12,8,7,3,18,9,7,1,2,1,0,0,1.25,6,11,1.28,6,9.75,1.26,6.14,9.3,1.26,5.95,9.62,1.3,5.75,9,1.32,5.93,8.72,1.29,5.72,8.85
N1,13/09/2025,17:45,Go Ahead Eagles,Volendam,3,0,H,3,0,H,19,19,13,1,12,9,7,7,1,1,0,0,1.53,4.5,5.5,1.53,4.6,5.25,1.53,4.72,5.26,1.52,4.53,5.25,1.5,4.75,5.5,1.53,5.02,5.36,1.5,4.78,5.32
N1,13/09/2025,17:45,Nijmegen,PSV Eindhoven,3,5,A,1,3,A,20,18,7,11,8,18,8,4,2,4,0,0,5,4.33,1.62,4.5,4.5,1.63,4.81,4.26,1.63,4.75,4.36,1.59,5,4.33,1.6,4.83,4.31,1.67,4.65,4.44
N1,13/09/2025,20:00,Feyenoord,Heerenveen,1,0,H,1,0,H,10,11,5,1,10,11,6,3,2,2,1,1,1.38,5,7.5,1.38,5,7.75,1.39,5.13,7.09,1.36,5.01,7.56,1.33,5.5,8,1.35,5.63,7.78,1.32,5.56,7.99
N1,13/09/2025,20:00,Twente,NAC Breda,2,2,D,0,1,A,15,11,6,5,15,17,4,3,2,1,0,0,1.45,4.5,6.5,1.49,4.5,6.25,1.47,4.55,6.34,1.45,4.47,6.48,1.5,4.5,6,1.6,4.35,5.55,1.49,4.41,6.04
N1,14/09/2025,11:15,Excelsior,Sparta Rotterdam,0,1,A,0,0,D,17,19,4,7,11,8,7,2,4,1,1,0,3.2,3.6,2.15,3.2,3.6,2.1,3.11,3.67,2.19,3.11,3.59,2.13,2.55,3.7,2.6,2.58,3.71,2.66,2.47,3.67,2.61
