Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
B1,31/08/2025,17:30,St. Gilloise,Anderlecht,2,0,H,1,0,H,16,9,5,4,7,17,5,5,1,6,0,2,1.6,4,5.25,1.61,3.95,5.2,1.58,3.95,5.92,1.6,3.88,5.27,1.67,3.8,4.9,1.63,4.01,5.81,1.67,3.82,4.81
B1,31/08/2025,18:15,Genk,Waregem,3,2,H,2,2,D,11,8,4,3,9,21,5,4,2,2,1,0,1.4,5.5,6,1.34,5.5,7.5,1.4,4.99,6.99,1.37,5.05,6.83,1.34,5.5,7.5,1.39,5.29,7.79,1.37,5.06,7.03
B1,12/09/2025,19:45,Standard,Mechelen,1,1,D,0,0,D,11,14,3,6,10,8,12,5,3,3,0,0,2.3,3.25,3,2.33,3.35,2.95,2.37,3.35,3.19,2.34,3.29,2.95,2.15,3.35,3.15,2.38,3.3,3.23,2.14,3.31,3.17
B1,13/09/2025,15:00,Waregem,Oud-Heverlee Leuven,2,0,H,2,0,H,12,25,8,6,14,18,2,6,3,4,0,0,2.4,3.4,2.88,2.35,3.45,2.88,2.42,3.44,2.9,2.38,3.35,2.82,2.38,3.35,2.95,2.38,3.28,3.25,2.42,3.24,2.89
B1,13/09/2025,17:15,Dender,St. Gilloise,0,1,A,0,0,D,5,18,2,4,5,12,1,6,0,0,0,0,6,4.5,1.48,6.75,4.4,1.46,7.24,4.41,1.44,6.61,4.26,1.46,7.5,4.5,1.41,8.04,4.62,1.43,7.22,4.45,1.42
B1,13/09/2025,19:45,RAAL La Louviere,Club Brugge,1,0,H,1,0,H,13,21,4,6,15,10,5,6,0,1,0,0,5.75,4.5,1.48,6.75,4.5,1.44,6.47,4.55,1.47,6.2,4.43,1.46,5.2,4.1,1.6,6.82,4.66,1.48,4.98,4.02,1.62
B1,14/09/2025,12:30,Antwerp,Gent,1,2,A,1,1,D,22,9,7,6,8,12,5,1,4,2,0,1,2.45,3.3,2.9,2.28,3.6,2.9,2.46,3.56,2.76,2.36,3.45,2.79,2.38,3.55,2.75,2.43,3.5,2.98,2.35,3.44,2.85
B1,14/09/2025,15:00,Cercle Brugge,Charleroi,2,3,A,0,2,A,8,9,2,4,7,12,4,3,1,2,0,0,2.15,3.4,3.25,2.17,3.55,3.1,2.14,3.51,3.35,2.14,3.45,3.16,2.04,3.45,3.55,2.06,3.42,3.88,2.1,3.41,3.34
B1,14/09/2025,17:30,Anderlecht,Genk,1,1,D,0,0,D,9,18,3,3,16,7,3,7,2,3,1,0,2.5,3.4,2.75,2.4,3.65,2.65,2.52,3.53,2.71,2.43,3.53,2.65,2.45,3.5,2.7,2.46,3.62,2.85,2.46,3.49,2.67
B1,14/09/2025,18:15,St Truiden,Westerlo,0,3,A,0,1,A,17,12,3,6,11,14,8,3,1,2,0,0,2.1,3.8,3.1,2.05,3.9,3.15,2.09,3.66,3.36,2.08,3.74,3.1,1.98,3.8,3.35,2.14,3.75,3.35,2.09,3.64,3.19
B1,17/09/2025,19:30,Genk,Charleroi,0,1,A,0,1,A,16,9,4,2,11,11,4,3,0,2,0,0,1.7,3.8,4.33,1.71,4.1,4.3,1.75,3.94,4.41,1.71,3.9,4.31,1.61,4.3,4.8,1.65,4.26,5.07,1.6,4.18,4.83
B1,19/09/2025,19:45,Gent,Dender,3,0,H,1,0,H,15,15,3,4,8,5,2,5,1,1,0,0,1.73,3.9,4.2,1.83,3.85,3.9,1.78,3.99,4.47,1.77,3.84,4.1,1.58,4.25,5,1.61,4.24,5.54,1.64,4.03,4.72
B1,20/09/2025,15:00,Oud-Heverlee Leuven,RAAL La Louviere,1,2,A,1,2,A,8,5,2,3,22,16,2,1,4,3,0,0,2,3.3,3.5,2.04,3.4,3.6,2.03,3.27,3.94,2.04,3.3,3.69,2.04,3.35,3.65,2.07,3.23,4.13,2.04,3.24,3.66
B1,20/09/2025,17:15,Charleroi,Waregem,1,2,A,1,0,H,9,19,2,4,12,14,6,11,3,1,1,0,1.75,3.75,4,1.72,4,4.25,1.79,3.77,4.38,1.76,3.77,4.18,1.72,3.95,4.35,1.74,3.87,4.9,1.8,3.72,4.07
B1,20/09/2025,19:45,Anderlecht,Antwerp,0,0,D,0,0,D,18,6,2,1,9,13,8,2,3,2,0,0,1.65,3.9,4.75,1.7,4.1,4.35,1.64,4.01,5.13,1.66,3.9,4.59,1.7,3.8,4.75,1.77,3.8,4.82,1.65,3.89,4.85
B1,21/09/2025,12:30,Genk,St. Gilloise,1,2,A,0,1,A,15,11,7,6,11,12,8,5,2,4,0,0,3,3.4,2.2,2.75,3.5,2.4,3.09,3.53,2.25,2.92,3.43,2.28,3.15,3.55,2.18,3.19,3.69,2.22,3.01,3.46,2.23
B1,21/09/2025,15:00,Westerlo,Standard,0,2,A,0,2,A,17,6,4,3,7,15,7,1,0,5,0,0,1.85,3.6,3.9,1.88,3.7,3.8,1.85,3.63,4.23,1.86,3.6,3.86,1.84,3.85,3.85,1.89,3.85,4.04,1.74,3.75,3.75
B1,21/09/2025,17:30,Club Brugge,St Truiden,2,0,H,1,0,H,20,7,9,3,10,11,5,0,1,2,0,0,1.42,5.25,5.25,1.4,5,6.75,1.43,5.4,5.8,1.41,4.83,6.36,1.28,6,8.5,1.31,6.28,8.49,1.27,5.84,8.93
B1,21/09/2025,18:15,Mechelen,Cercle Brugge,0,0,D,0,0,D,13,16,2,5,6,17,7,7,1,3,0,0,2.45,3.6,2.55,2.45,3.5,2.65,2.56,3.52,2.67,2.47,3.5,2.61,2.35,3.45,2.88,2.27,3.62,3.16,2.32,3.55,2.8
B1,23/09/2025,19:30,Anderlecht,Gent,1,0,H,0,0,D,17,8,9,2,16,12,8,2,3,3,0,0,1.7,3.9,4.75,1.75,3.9,4.2,1.77,4.03,4.51,1.72,3.87,4.34,1.72,3.9,4.35,1.75,3.94,4.75,1.76,3.79,4.21
B1,24/09/2025,19:30,Club Brugge,Westerlo,5,5,D,1,2,A,17,21,5,8,9,14,5,4,1,3,0,0,1.33,5.5,8,1.3,5.8,8,1.53,2.4,1.34,3.28,1.3,5.8,8,1.35,6.04,7.71,1.31,5.68,7.68
B1,26/09/2025,19:45,Oud-Heverlee Leuven,Anderlecht,1,1,D,0,0,D,17,10,8,2,16,7,2,5,4,3,0,0,3.5,3.6,2,3.8,3.35,1.98,3.84,3.52,2.04,3.63,3.39,2,3.65,3.4,2,3.49,3.43,2.19,3.47,3.41,2.04
B1,27/09/2025,15:00,Waregem,Antwerp,2,0,H,0,0,D,17,8,6,1,6,13,4,4,0,1,0,0,2.63,3.25,2.63,2.7,3.5,2.45,2.64,3.34,2.7,2.62,3.34,2.56,2.15,3.45,3.25,2.45,3.47,2.97,2.24,3.38,3.04
B1,27/09/2025,17:15,Standard,Club Brugge,1,2,A,1,1,D,18,15,5,5,13,7,7,8,4,2,1,0,5.25,4.33,1.57,5.3,4.2,1.58,5.75,4.18,1.56,5.23,4.1,1.57,5.2,4.25,1.57,5.65,4.34,1.59,5.24,4.35,1.55
B1,27/09/2025,19:45,St. Gilloise,Westerlo,2,0,H,0,0,D,19,7,6,2,15,11,9,2,3,2,0,0,1.36,5,8,1.32,5.6,8,1.34,5.57,7.65,1.33,5.3,7.77,1.38,5.2,6.5,1.34,5.96,8.06,1.38,5.14,6.79
B1,28/09/2025,12:30,St Truiden,Genk,1,2,A,1,0,H,15,15,4,7,12,18,3,6,4,2,1,0,3,3.5,2.2,3,3.7,2.15,3.08,3.78,2.17,3.01,3.59,2.16,3.45,3.7,2,3.4,3.72,2.12,3.28,3.6,2.04
B1,28/09/2025,15:00,Cercle Brugge,Gent,2,4,A,2,2,D,23,11,8,8,12,9,10,2,2,3,0,0,2.2,3.8,2.9,2.2,3.65,2.95,2.21,3.63,3.09,2.18,3.56,2.98,2.18,3.7,2.95,2.19,3.7,3.27,2.22,3.57,2.95
B1,28/09/2025,17:30,Charleroi,Mechelen,0,2,A,0,2,A,13,5,6,3,6,10,5,3,0,4,0,0,2,3.5,3.5,1.97,3.7,3.5,2.03,3.65,3.52,2.02,3.61,3.35,2,3.55,3.55,1.98,3.54,4.02,2.07,3.44,3.35
