Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
P1,20/09/2025,15:30,Nacional,Arouca,1,2,A,0,0,D,15,10,6,3,10,18,3,5,2,2,1,1,2.45,3.1,2.85,2.45,3.2,2.8,2.55,3.18,2.93,2.47,3.2,2.77,2.2,3.25,3.2,2.32,3.3,3.34,2.15,3.16,3.17
P1,20/09/2025,15:30,Santa Clara,Alverca,2,1,H,1,1,D,14,3,6,3,16,21,7,0,6,4,0,0,1.66,3.1,6.25,1.72,3.3,5.25,1.69,3.44,5.84,1.69,3.33,5.4,1.68,3.1,6,1.76,3.45,5.57,1.73,3.29,5.13
P1,20/09/2025,18:00,AVS,Benfica,0,3,A,0,1,A,8,19,1,6,17,11,2,1,1,1,0,0,15,6.5,1.15,15,6.75,1.19,12.95,7.79,1.17,14.93,6.48,1.17,13,6.25,1.17,13.32,8.02,1.19,13.77,6.49
P1,20/09/2025,20:30,Guimaraes,Sp Braga,1,1,D,1,1,D,11,17,3,5,14,15,3,5,2,3,0,0,2.85,3.3,2.35,2.87,3.25,2.37,2.98,3.31,2.43,2.91,3.24,2.34,4.1,3.4,1.91,3.78,3.37,2.11,3.9,3.39
P1,21/09/2025,15:30,Tondela,Estrela,0,0,D,0,0,D,17,8,8,3,16,13,5,2,4,3,1,0,2.25,2.85,3.6,2.3,3.1,3.25,2.33,3.05,3.41,2.14,2.78,3.55,1.96,3.25,3.9,2.34,3.1,3.53,2.04,3.29,3.54
P1,21/09/2025,18:00,Gil Vicente,Estoril,2,0,H,1,0,H,16,7,3,3,16,13,4,0,2,2,0,0,2.2,3.2,3.3,2.25,3.1,3.2,2.27,3.15,3.44,2.27,3.16,3.13,1.96,3.3,4,2.07,3.34,3.97,1.97,3.28,3.83
P1,21/09/2025,20:30,Casa Pia,Famalicao,1,1,D,0,0,D,10,11,3,2,18,21,5,3,1,2,0,0,3.4,3,2.25,3.2,3.1,2.3,3.39,3.12,2.31,3.25,3.08,2.24,3.75,3.1,2.1,3.64,3.23,2.23,3.46,3.1
P1,22/09/2025,20:15,Sp Lisbon,Moreirense,3,0,H,0,0,D,25,4,14,1,16,18,6,4,1,1,0,0,1.17,7,12,1.2,6.5,13.5,1.17,7.29,14.02,1.18,6.45,13.75,1.17,7,12,1.23,7.49,13.58,1.19,6.37,12.33
P1,23/09/2025,20:15,Benfica,Rio Ave,1,1,D,0,0,D,19,4,7,2,16,16,11,2,3,2,0,0,1.17,7,11,1.21,7.25,10.5,1.19,7.54,14.35,1.18,6.87,12.13,1.11,8,17,1.16,8.23,16.36,1.14,7.78,15.57
P1,26/09/2025,20:15,Benfica,Gil Vicente,2,1,H,2,1,H,10,16,4,8,14,20,0,7,3,4,0,1,1.3,4.5,10,1.32,5,9.25,1.34,5.08,10.73,1.3,4.98,9.28,1.3,4.75,10,1.29,5.58,11.64,1.29,5.17,9.31
