Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
D1,27/09/2025,14:30,St Pauli,Leverkusen,1,2,A,1,1,D,13,5,6,4,13,11,13,1,3,5,0,0,3.1,3.6,2.2,3.1,3.5,2.2,3.28,3.55,2.24,3.12,3.45,2.18,3,3.4,2.38,3.37,3.54,2.23,2.97,3.42,2.32
D1,27/09/2025,14:30,Wolfsburg,RB Leipzig,0,1,A,0,1,A,22,20,4,6,7,9,6,11,2,2,0,0,2.55,3.6,2.6,2.6,3.7,2.5,2.6,3.75,2.61,2.54,3.65,2.5,2.63,3.6,2.5,2.63,3.73,2.63,2.59,3.65,2.48
D1,27/09/2025,17:30,M'gladbach,Ein Frankfurt,4,6,A,0,5,A,11,21,8,7,14,8,4,6,1,2,0,0,3.1,3.6,2.2,2.95,3.7,2.2,3.2,3.59,2.26,2.98,3.68,2.18,3,3.6,2.25,3.08,3.72,2.3,2.9,3.63,2.26
D1,28/09/2025,14:30,Freiburg,Hoffenheim,1,1,D,1,1,D,6,15,1,4,9,15,6,8,3,1,0,0,2.25,3.4,3.1,2.2,3.6,3,2.27,3.66,3.13,2.19,3.59,3.01,2.3,3.4,3.1,2.36,3.55,3.1,2.29,3.35,3.08
D1,28/09/2025,16:30,FC Koln,Stuttgart,1,2,A,1,1,D,14,15,6,5,12,12,8,8,2,2,0,0,2.9,3.5,2.35,2.8,3.7,2.3,2.91,3.68,2.39,2.78,3.64,2.29,2.5,3.7,2.63,2.61,3.72,2.66,2.53,3.62,2.55
D1,28/09/2025,18:30,Union Berlin,Hamburg,0,0,D,0,0,D,11,16,2,6,18,17,5,3,2,2,0,1,1.95,3.4,4,2,3.6,3.5,1.99,3.7,3.82,1.97,3.53,3.61,1.95,3.6,3.8,2.01,3.61,3.95,1.97,3.57,3.65
D1,03/10/2025,19:30,Hoffenheim,FC Koln,0,1,A,0,1,A,15,10,4,4,15,6,11,6,3,1,0,0,1.91,3.7,3.75,1.88,3.8,3.75,1.93,3.98,3.79,1.91,3.82,3.61,1.95,3.7,3.6,1.92,3.95,3.92,1.91,3.76,3.56
D1,04/10/2025,14:30,Augsburg,Wolfsburg,3,1,H,1,0,H,10,14,5,4,9,7,10,5,2,1,0,0,2.75,3.5,2.45,2.7,3.6,2.45,2.86,3.58,2.48,2.71,3.53,2.42,2.55,3.5,2.63,2.64,3.58,2.71,2.5,3.51,2.67
D1,04/10/2025,14:30,Dortmund,RB Leipzig,1,1,D,1,1,D,15,13,3,3,13,14,7,7,1,3,0,0,1.7,4.5,4.2,1.7,4.4,4.2,1.7,4.67,4.25,1.68,4.36,4.14,1.67,4.75,4.2,1.71,4.63,4.29,1.67,4.5,4.12
D1,04/10/2025,14:30,Leverkusen,Union Berlin,2,0,H,1,0,H,20,10,3,3,11,13,4,4,1,3,0,0,1.7,4,4.75,1.7,4,4.6,1.7,4.1,4.88,1.68,3.91,4.65,1.7,4,4.75,1.73,4.09,4.94,1.7,3.89,4.69
