Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
F1,28/09/2025,16:15,Angers,Brest,0,2,A,0,2,A,11,7,2,3,13,13,11,4,1,1,0,0,3.1,3.25,2.38,3,3.3,2.37,3.08,3.43,2.4,3.04,3.29,2.31,3.3,3,2.38,3.32,3.11,2.47,3.16,3.11,2.37
F1,28/09/2025,16:15,Lille,Lyon,0,1,A,0,1,A,14,5,3,2,20,24,3,4,4,4,1,0,2.25,3.4,3.2,2.25,3.5,3.1,2.26,3.49,3.28,2.23,3.46,3.05,2.25,3.5,3.1,2.35,3.54,3.12,2.26,3.44,3.04
F1,28/09/2025,16:15,Metz,Le Havre,0,0,D,0,0,D,7,11,0,2,16,16,4,6,2,2,0,0,2.7,3.2,2.7,2.6,3.4,2.65,2.67,3.46,2.7,2.6,3.34,2.62,2.55,3.25,2.8,2.69,3.35,2.8,2.56,3.29,2.71
F1,28/09/2025,19:45,Rennes,Lens,0,0,D,0,0,D,14,13,2,2,16,9,8,4,3,2,0,1,2.5,3.4,2.75,2.4,3.5,2.8,2.54,3.59,2.77,2.4,3.48,2.76,2.63,3.5,2.55,2.61,3.56,2.75,2.56,3.5,2.6
F1,03/10/2025,19:45,Paris FC,Lorient,2,0,H,2,0,H,10,8,2,3,19,10,1,5,0,2,0,0,1.73,3.9,4.5,1.75,3.9,4.33,1.78,3.98,4.52,1.74,3.9,4.39,1.73,3.8,4.75,1.74,3.95,4.91,1.76,3.75,4.42
F1,04/10/2025,16:00,Metz,Marseille,0,3,A,0,0,D,4,21,1,9,8,7,4,4,0,0,0,0,6.25,5,1.45,6.25,4.6,1.47,6.24,4.71,1.5,6.2,4.57,1.46,5.5,4.1,1.57,6.51,4.55,1.51,5.77,4.29
F1,04/10/2025,18:00,Brest,Nantes,0,0,D,0,0,D,17,6,5,0,11,12,12,3,2,1,0,0,1.85,3.75,4,1.88,3.6,4,1.88,3.76,4.23,1.86,3.59,4,1.91,3.6,4,1.98,3.56,4.13,1.89,3.55,4.01
F1,04/10/2025,20:05,Auxerre,Lens,1,2,A,0,1,A,18,7,2,4,10,21,2,2,3,7,0,1,3.6,3.8,1.95,3.6,3.6,1.98,3.79,3.87,1.95,3.65,3.61,1.94,3.4,3.8,2,3.6,3.7,2.08,3.5,3.59,2.01
F1,05/10/2025,14:00,Lyon,Toulouse,1,2,A,1,0,H,13,14,3,4,13,17,8,5,1,3,0,0,1.9,3.7,4,1.95,3.6,3.7,1.95,3.81,3.83,1.89,3.63,3.86,2.05,3.4,3.75,2,3.57,4.02,1.98,3.4,3.8
F1,05/10/2025,16:15,Le Havre,Rennes,2,2,D,1,2,A,10,9,2,3,13,9,3,4,1,2,0,0,3.1,3.3,2.35,3,3.3,2.35,3.08,3.33,2.45,3.04,3.29,2.31,3.1,3.5,2.2,3.31,3.39,2.32,3.1,3.39,2.25
F1,05/10/2025,16:15,Monaco,Nice,2,2,D,1,2,A,20,9,6,2,10,9,6,7,1,3,0,1,1.9,3.7,3.9,1.88,3.8,3.75,1.96,3.77,3.86,1.88,3.81,3.69,1.95,3.7,3.7,2.05,3.78,3.61,1.93,3.74,3.65
F1,05/10/2025,16:15,Strasbourg,Angers,5,0,H,1,0,H,18,5,12,1,12,11,2,5,2,2,0,0,1.67,3.9,5.25,1.65,3.8,5.25,1.71,3.9,5.12,1.65,3.77,5.18,1.73,3.8,4.75,1.78,3.78,4.91,1.72,3.64,4.84
F1,05/10/2025,19:45,Lille,Paris SG,1,1,D,0,0,D,9,17,3,5,11,12,3,5,1,1,0,0,4.5,3.9,1.75,4.4,3.8,1.75,4.47,3.99,1.78,4.33,3.89,1.73,3.5,3.4,2.05,4.27,3.92,1.85,3.39,3.58
F1,17/10/2025,19:45,Paris SG,Strasbourg,3,3,D,1,2,A,21,12,9,7,12,15,4,1,2,1,0,0,1.3,6,8.5,1.33,5.75,8,1.31,5.83,9.84,1.3,5.75,8.86,1.36,5,8,1.4,5.25,8,1.39,5.08,7.09
F1,18/10/2025,16:00,Nice,Lyon,3,2,H,2,1,H,5,29,4,7,10,11,1,16,1,2,0,0,2.45,3.4,2.8,2.4,3.5,2.8,2.54,3.54,2.81,2.42,3.46,2.76,2.2,3.5,3.1,2.48,3.55,2.91,2.23,3.49,3.08
F1,18/10/2025,18:00,Angers,Monaco,1,1,D,0,0,D,16,11,3,4,15,14,10,3,2,2,0,0,5.5,4,1.62,5,4.1,1.62,5.31,4.23,1.63,5.11,4.13,1.6,5.5,4,1.62,5.22,4.02,1.68,5.28,4.03
F1,18/10/2025,20:05,Marseille,Le Havre,6,2,H,1,1,D,18,8,11,3,17,13,2,1,2,1,0,1,1.33,5,9,1.33,5.5,8.5,1.33,5.87,8.66,1.32,5.29,8.79,1.3,5.5,9,1.37,5.33,8.82,1.32,5.32,8.98
F1,19/10/2025,14:00,Lens,Paris FC,2,1,H,1,1,D,11,9,3,3,11,8,11,3,2,2,0,0,1.85,3.75,4,1.88,3.6,4,1.89,3.9,4,1.85,3.74,3.87,1.8,3.9,4.1,1.84,3.83,4.4,1.79,3.83,4.15
F1,19/10/2025,16:15,Lorient,Brest,3,3,D,1,2,A,12,8,7,4,13,16,5,2,3,2,0,0,2.38,3.25,3,2.45,3.4,2.8,2.55,3.55,2.79,2.39,3.35,2.86,2.8,3.2,2.6,2.72,3.37,2.75,2.71,3.23,2.61
F1,19/10/2025,16:15,Rennes,Auxerre,2,2,D,1,1,D,19,7,7,4,11,15,6,2,1,3,0,0,1.75,3.7,4.75,1.78,3.75,4.4,1.8,3.84,4.53,1.74,3.72,4.53,1.85,3.6,4.2,1.88,3.81,4.56,1.83,3.65,4.18
F1,19/10/2025,16:15,Toulouse,Metz,4,0,H,2,0,H,16,2,7,2,14,11,5,1,2,1,0,1,1.6,3.8,6,1.58,4.1,5.5,1.61,4.12,5.71,1.58,3.98,5.57,1.53,4.2,6,1.59,4.14,6.14,1.52,4.26,6
F1,19/10/2025,19:45,Nantes,Lille,0,2,A,0,1,A,8,23,3,5,12,15,5,9,1,4,0,0,4.5,3.6,1.8,4.2,3.6,1.83,4.54,3.86,1.79,4.26,3.64,1.79,5.5,3.9,1.6,5.07,3.85,1.75,5.31,3.88
F1,24/10/2025,19:45,Paris FC,Nantes,1,2,A,1,2,A,14,11,3,3,10,13,8,2,3,2,0,0,1.65,4.1,5,1.65,4,5,1.67,4.1,5.31,1.64,3.99,5.1,1.58,4.1,5.5,1.58,4.17,6.29,1.57,4.07,5.61
F1,25/10/2025,16:00,Brest,Paris SG,0,3,A,0,2,A,8,18,2,8,10,10,2,7,1,1,0,0,7.5,5.5,1.33,8.25,5.5,1.33,8.88,5.61,1.34,8.2,5.35,1.32,7.5,5.5,1.33,8.21,5.41,1.37,8.17,5.47
F1,25/10/2025,18:00,Monaco,Toulouse,1,0,H,1,0,H,14,10,5,2,15,18,2,5,3,4,0,0,1.83,3.9,4,1.82,3.9,4,1.87,4.03,3.96,1.8,3.86,3.91,2.2,3.6,3.1,2.16,3.63,3.44,2.06,3.57,3.31
